# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 09.09.2024 по 09.09.2025, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"05.02.2025 21:00";"-0.3";"763.4";"777.8";"0.9";"89";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Дымка. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-0.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.9";"Следы осадков";"12";"";"";"";"";
"05.02.2025 18:00";"-0.3";"762.5";"776.9";"1.3";"88";"Ветер, дующий с востока";"1";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"10.0";"-2.1";"0.1";"12";"";"";"";"";
"05.02.2025 15:00";"-0.2";"761.2";"775.6";"0.5";"82";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"11.0";"-3.0";"";"";"";"";"";"";
"05.02.2025 12:00";"-1.2";"760.7";"775.1";"1.1";"85";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"15.0";"-3.4";"";"";"";"";"";"";
"05.02.2025 09:00";"-1.9";"759.6";"774.0";"0.8";"84";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";"Ливневый снег или ливневый дождь и снег. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-2.8";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"17.0";"-4.3";"0.1";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"Менее 0.5";
"05.02.2025 06:00";"-2.1";"758.8";"773.3";"0.0";"77";"Ветер, дующий с севера";"3";"";"";"100%.";" ";"";"";"-2.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"-5.7";"Осадков нет";"12";"";"";"";"";
"05.02.2025 03:00";"-1.6";"758.8";"773.2";"0.8";"77";"Ветер, дующий с севера";"2";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.1";"";"";"";"";"";"";
"05.02.2025 00:00";"-1.3";"758.0";"772.3";"0.7";"84";"Ветер, дующий с северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"16.0";"-3.7";"";"";"";"";"";"";
"04.02.2025 21:00";"-2.8";"757.3";"771.8";"1.1";"88";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"1.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-4.5";"Следы осадков";"12";"";"";"";"";
"04.02.2025 18:00";"-1.7";"756.2";"770.5";"1.2";"87";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-3.6";"Следы осадков";"12";"";"";"";"";
"04.02.2025 15:00";"0.8";"755.0";"769.2";"1.0";"64";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"-5.3";"";"";"";"";"";"";
"04.02.2025 12:00";"1.0";"754.0";"768.2";"1.1";"75";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-2.9";"";"";"";"";"";"";
"04.02.2025 09:00";"-0.9";"752.9";"767.2";"1.4";"87";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"-1.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-2.8";"0.1";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"Менее 0.5";
"04.02.2025 06:00";"-1.1";"751.5";"765.7";"1.0";"86";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"-1.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-3.1";"0.1";"12";"";"";"";"";
"04.02.2025 03:00";"-0.4";"750.5";"764.6";"1.0";"86";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Ливневый снег или ливневый дождь и снег. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-2.5";"";"";"";"";"";"";
"04.02.2025 00:00";"-0.5";"749.5";"763.7";"0.6";"85";"Штиль, безветрие";"0";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"17.0";"-2.8";"";"";"";"";"";"";
"03.02.2025 21:00";"0.0";"748.9";"763.0";"0.3";"74";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"0.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-4.2";"Осадков нет";"12";"";"";"";"";
"03.02.2025 18:00";"0.5";"748.6";"762.7";"0.8";"60";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"-6.4";"Осадков нет";"12";"";"";"";"";
"03.02.2025 15:00";"0.6";"747.8";"761.9";"0.0";"63";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-5.8";"";"";"";"";"";"";
"03.02.2025 12:00";"0.8";"747.8";"761.9";"0.1";"63";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"-5.5";"";"";"";"";"";"";
"03.02.2025 09:00";"-0.2";"747.7";"761.8";"0.2";"75";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-0.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-4.1";"Следы осадков";"12";"";"";"";"";
"03.02.2025 06:00";"-0.5";"747.5";"761.6";"-0.2";"75";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"-0.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"-4.4";"0.1";"12";"";"";"";"";
"03.02.2025 03:00";"-0.8";"747.7";"761.8";"-0.3";"76";"Ветер, дующий с юго-запада";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-4.6";"";"";"";"";"";"";
"03.02.2025 00:00";"-0.5";"748.0";"762.1";"0.2";"80";"Ветер, дующий с юго-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"-3.6";"";"";"";"";"";"";
"02.02.2025 21:00";"-0.1";"747.8";"761.9";"0.4";"85";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"1.8";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"20.0";"-2.4";"0.4";"12";"";"";"";"";
"02.02.2025 18:00";"0.8";"747.4";"761.5";"0.6";"72";"Ветер, дующий с западо-юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-3.8";"0.3";"12";"";"";"";"";
"02.02.2025 15:00";"1.4";"746.8";"760.8";"0.0";"71";"Ветер, дующий с западо-юго-запада";"1";"";"";"90  или более, но не 100%";"Ливневый снег или ливневый дождь и снег. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-3.4";"";"";"";"";"";"";
"02.02.2025 12:00";"1.4";"746.8";"760.8";"0.1";"78";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"-2.1";"";"";"";"";"";"";
"02.02.2025 09:00";"0.7";"746.7";"760.7";"-0.1";"81";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"0.7";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-2.2";"0.1";"12";"";"";"";"";
"02.02.2025 06:00";"1.1";"746.8";"760.8";"-0.3";"80";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"1.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-2.0";"1.0";"12";"";"";"";"";
"02.02.2025 03:00";"2.3";"747.1";"761.1";"-0.3";"83";"Ветер, дующий с юга";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-0.4";"";"";"";"";"";"";
"02.02.2025 00:00";"2.4";"747.4";"761.4";"-0.4";"81";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"17.0";"-0.6";"";"";"";"";"";"";
"01.02.2025 21:00";"2.6";"747.8";"761.8";"-0.2";"80";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Морось.";"";"4.8";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-0.6";"1.0";"12";"";"";"";"";
"01.02.2025 18:00";"4.7";"748.0";"761.8";"-0.4";"86";"Ветер, дующий с юга";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"18.0";"2.5";"0.2";"12";"";"";"";"";
"01.02.2025 15:00";"4.5";"748.4";"762.3";"-1.3";"89";"Ветер, дующий с юга";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"13.0";"2.9";"";"";"";"";"";"";
"01.02.2025 12:00";"3.9";"749.7";"763.6";"-0.6";"91";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Дождь.";"Морось.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"10.0";"2.5";"";"";"";"";"";"";
"01.02.2025 09:00";"3.5";"750.3";"764.2";"-1.0";"93";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Морось незамерзающая с перерывами слабая в срок наблюдения. ";"Ливень (ливни).";"Морось.";"2.7";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"7.0";"2.5";"1.0";"12";"";"";"";"";
"01.02.2025 06:00";"3.3";"751.3";"765.3";"-1.7";"91";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дымка. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"2.7";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"11.0";"1.9";"0.9";"12";"";"";"";"";
"01.02.2025 03:00";"3.0";"753.0";"767.0";"-0.7";"89";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"300-600";"";"";"6.0";"1.3";"";"";"";"";"";"";
"01.02.2025 00:00";"2.8";"753.7";"767.8";"-0.6";"89";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"9.0";"1.1";"";"";"";"";"";"";
"31.01.2025 21:00";"3.0";"754.3";"768.3";"-0.8";"88";"Ветер, дующий с юго-юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"4.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.2";"Осадков нет";"12";"";"";"";"";
"31.01.2025 18:00";"3.5";"755.1";"769.1";"-0.2";"86";"Ветер, дующий с юга";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"15.0";"1.3";"Осадков нет";"12";"";"";"";"";
"31.01.2025 15:00";"4.3";"755.3";"769.3";"-0.1";"79";"Ветер, дующий с юга";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"16.0";"0.9";"";"";"";"";"";"";
"31.01.2025 12:00";"4.0";"755.4";"769.5";"0.8";"82";"Ветер, дующий с юга";"1";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"14.0";"1.2";"";"";"";"";"";"";
"31.01.2025 09:00";"3.2";"754.6";"768.6";"0.6";"88";"Ветер, дующий с западо-юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"2.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"16.0";"1.4";"Осадков нет";"12";"";"";"";"";
"31.01.2025 06:00";"3.7";"754.0";"768.0";"0.6";"87";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"3.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"18.0";"1.7";"Осадков нет";"12";"";"";"";"";
"31.01.2025 03:00";"3.7";"753.4";"767.4";"1.0";"87";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"1.7";"";"";"";"";"";"";
"31.01.2025 00:00";"5.5";"752.4";"766.3";"0.6";"84";"Ветер, дующий с западо-юго-запада";"1";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"2.9";"";"";"";"";"";"";
"30.01.2025 21:00";"6.5";"751.8";"765.6";"0.0";"82";"Ветер, дующий с юго-юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"8.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"15.0";"3.6";"Осадков нет";"12";"";"";"";"";
"30.01.2025 18:00";"6.6";"751.8";"765.6";"0.2";"81";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"17.0";"3.6";"Осадков нет";"12";"";"";"";"";
"30.01.2025 15:00";"7.7";"751.6";"765.4";"0.5";"77";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"19.0";"3.9";"";"";"";"";"";"";
"30.01.2025 12:00";"7.0";"751.1";"764.8";"0.8";"83";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"16.0";"4.3";"";"";"";"";"";"";
"30.01.2025 09:00";"5.6";"750.3";"764.2";"1.1";"93";"Ветер, дующий с юга";"1";"";"";"100%.";"Морось (незамерзающая) или снежные зерна неливневые. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"4.2";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"4.5";"0.3";"12";"";"";"";"";
"30.01.2025 06:00";"5.1";"749.2";"763.0";"0.3";"91";"Ветер, дующий с юга";"1";"";"";"100%.";"Морось незамерзающая с перерывами слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"4.2";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"3.7";"0.3";"12";"";"";"";"";
"30.01.2025 03:00";"4.6";"748.9";"762.7";"-0.1";"94";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"4.5";"3.7";"";"";"";"";"";"";
"30.01.2025 00:00";"4.3";"749.0";"762.9";"0.1";"92";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"7.0";"3.1";"";"";"";"";"";"";
"29.01.2025 21:00";"4.6";"748.9";"762.7";"0.0";"91";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"5.1";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"8.0";"3.2";"Следы осадков";"12";"";"";"";"";
"29.01.2025 18:00";"4.8";"748.9";"762.7";"-0.3";"89";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"12.0";"3.1";"Следы осадков";"12";"";"";"";"";
"29.01.2025 15:00";"5.0";"749.2";"763.1";"-0.2";"88";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Морось незамерзающая с перерывами слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"11.0";"3.2";"";"";"";"";"";"";
"29.01.2025 12:00";"4.6";"749.4";"763.3";"0.2";"86";"Ветер, дующий с юга";"1";"";"";"100%.";"Морось незамерзающая с перерывами слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"12.0";"2.5";"";"";"";"";"";"";
"29.01.2025 09:00";"4.1";"749.2";"763.1";"0.3";"88";"Ветер, дующий с юга";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"3.7";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"14.0";"2.3";"Следы осадков";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"Снежный покров не постоянный.";
"29.01.2025 06:00";"3.9";"748.9";"762.8";"0.2";"91";"Ветер, дующий с юга";"1";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"3.7";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"9.0";"2.6";"Следы осадков";"12";"";"";"";"";
"29.01.2025 03:00";"4.1";"748.7";"762.6";"0.4";"91";"Ветер, дующий с юга";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"9.0";"2.7";"";"";"";"";"";"";
"29.01.2025 00:00";"4.4";"748.3";"762.1";"0.2";"89";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"10.0";"2.7";"";"";"";"";"";"";
"28.01.2025 21:00";"5.1";"748.1";"761.9";"-0.2";"86";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"5.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"11.0";"3.0";"Осадков нет";"12";"";"";"";"";
